fold_key	exact_spellings	semantic_status	taxonomy_status	reviewed_destination	import_status	final_master_path	batch_id
bip armpitringbase r	bip armpitringbase r	CLEAR	CLEAR	groupFile/Arms/RightArm	IMPORTED	groupFile/Arms/RightArm	P115
feather 3b	feather 3b	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P115
fit upper 02	fit Upper 02	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P115
opt_acs_earringr3	OPT_acs_earringr3	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P115
arm left finger 4 c	arm left finger 4 c	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P115
bip_neck_08	bip_neck_08	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P115
body-l-ass-down	Body-L-Ass-Down	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
bip_hs1_l	bip_hs1_L	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
tlcraise	TLCRaise	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P115
body-r-ass-spread	Body-R-Ass-Spread	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
v_weapon.root98	v_weapon.Root98	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P115
bottom_01	Bottom_01	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
lowerjawfix	LowerJawFix	CLEAR	CLEAR	groupFile/Correctives	IMPORTED	groupFile/Correctives	P115
bip_lipupper	bip_lipupper	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	P115
earring.pendant_left_1_jiggle	Earring.Pendant_Left_1_jiggle	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	P115
kargathbladefist_bone88_rfingermiddle	kargathbladefist_Bone88_RFingerMiddle	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P115
tooth.001	tooth.001	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	P115
thighshrink	Thighshrink	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
sidehair_r_2	sidehair_R_2	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	P115
shell.wall_20	Shell.Wall_20	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P115
face-anger	Face-Anger	CLEAR	CLEAR	groupFile/Face/Expressions	IMPORTED	groupFile/Face/Expressions	P115
neckl	neckL	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	P115
polysurface83	polySurface83	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
lefthandball	LeftHandBall	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P115
lower_body_d_end	lower_body_d_end	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P115
bip01_l_toe3	Bip01_L_Toe3	CLEAR	CLEAR	groupFile/Toes/LeftToes	IMPORTED	groupFile/Toes/LeftToes	P115
rightfinger03	RightFinger03	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	P115
torso flange 1b	torso flange 1b	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P115
l dlipin a	L Dlipin A	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	P115
flm-rig-eye-r	Flm-Rig-Eye-R	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	P115
cock_02	Cock_02	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
wep_decocker	WEP_Decocker	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P115
lthumb0	lThumb0+lthumb0	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P115
bip_breat_04_r	bip_breat_04_r	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
bip_faringleg_l	bip_faringLeg_l	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	P115
pb_l_cmy01_bhair_11	pb_L_CMY01_BHair_11	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	P115
pjcmabdomen2side24r	pJCMAbdomen2Side24R	CLEAR	CLEAR	groupFile/Correctives	IMPORTED	groupFile/Correctives	P115
tenta_1_l	tenta_1_L	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P115
jiggle_thigh_l	jiggle_thigh_L	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	P115
unusedbone037	unusedbone037	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	P115
shaft_2	shaft_2	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		P115
ce	CE	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
wep_fx_light2	WEP_FX_Light2	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P115
bone.006	Bone.006	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
clit_pull	Clit_pull	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
arm left finger 4xx	arm left finger 4xx	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	P115
_91	_91	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		P115
collectible reading.001	collectible reading.001	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	P115
unused_face	unused_face	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	P115
bip_strands1_r	bip_Strands1_R	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	P115
foreskinin	ForeskinIn	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	P115
