exact_literal	ascii_fold_key	current_classification	final_master_path	human_review_disposition	original_proposed_path	review_row_id	sibling_family_count	scanner_source_lines	notes
Arm Left Shoulder Adj 2	arm left shoulder adj 2	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	13322	1	9, 6, 2, 0	
arm left sleeve 1a	arm left sleeve 1a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3485	1	2, 0, 8, 3, 8	
arm left sleeve 1b	arm left sleeve 1b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3491	1	2, 0, 8, 3, 9	
arm left sleeve 1c	arm left sleeve 1c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3492	1	2, 0, 8, 4, 0	
arm left sleeve 2a	arm left sleeve 2a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3511	1	2, 0, 8, 4, 1	
arm left sleeve 2b	arm left sleeve 2b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3499	1	2, 0, 8, 4, 2	
arm left sleeve 2c	arm left sleeve 2c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3510	1	2, 0, 8, 4, 3	
arm left sleeve 3a	arm left sleeve 3a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3500	1	2, 0, 8, 4, 4	
arm left sleeve 3b	arm left sleeve 3b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3506	1	2, 0, 8, 4, 5	
arm left sleeve 3c	arm left sleeve 3c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3477	1	2, 0, 8, 4, 6	
arm left sleeve 4a	arm left sleeve 4a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3489	1	2, 0, 8, 4, 7	
arm left sleeve 4b	arm left sleeve 4b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3494	1	2, 0, 8, 4, 8	
arm left sleeve 4c	arm left sleeve 4c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3502	1	2, 0, 8, 4, 9	
Arm Left Wrist Adj	arm left wrist adj	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	14257	1	9, 6, 2, 2	
Arm Right Elbow Adj 1	arm right elbow adj 1	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	14187	1	9, 6, 2, 6	
Arm Right Elbow Adj 2	arm right elbow adj 2	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	15084	1	9, 6, 2, 7	
Arm Right Shoulder Adj 1	arm right shoulder adj 1	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	14680	1	9, 6, 3, 0	
Arm Right Shoulder Adj 2	arm right shoulder adj 2	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	15094	1	9, 6, 3, 1	
arm right sleeve 1a	arm right sleeve 1a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3488	1	2, 0, 9, 4, 8	
arm right sleeve 1b	arm right sleeve 1b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3490	1	2, 0, 9, 4, 9	
arm right sleeve 1c	arm right sleeve 1c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3496	1	2, 0, 9, 5, 0	
arm right sleeve 2a	arm right sleeve 2a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3475	1	2, 0, 9, 5, 1	
arm right sleeve 2b	arm right sleeve 2b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3480	1	2, 0, 9, 5, 2	
arm right sleeve 2c	arm right sleeve 2c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3501	1	2, 0, 9, 5, 3	
arm right sleeve 3a	arm right sleeve 3a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3486	1	2, 0, 9, 5, 4	
arm right sleeve 3b	arm right sleeve 3b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3508	1	2, 0, 9, 5, 5	
arm right sleeve 3c	arm right sleeve 3c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3512	1	2, 0, 9, 5, 6	
arm right sleeve 4a	arm right sleeve 4a	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3484	1	2, 0, 9, 5, 7	
arm right sleeve 4b	arm right sleeve 4b	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3507	1	2, 0, 9, 5, 8	
arm right sleeve 4c	arm right sleeve 4c	M3	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	3479	1	2, 0, 9, 5, 9	
Arm Right Wrist Adj	arm right wrist adj	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	11891	1	9, 6, 3, 3	
arm_l	arm_l	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	14399	1	2, 4, 2, 2	
arm_r	arm_r	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	14247	1	2, 4, 2, 3	
Armature	armature	M2	groupFile/Body	ACCEPTED_AS_PROPOSED	groupFile/Body	15010	1	4, 2, 1, 8	
Armmuscles	armmuscles	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	14746	1	9, 6, 5, 7	
Ass Thicc	ass thicc	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	13675	1	4, 2, 2, 4	
ass_1_L	ass_1_l	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	11940	1	2, 0, 9, 7, 7	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
ass_2_L	ass_2_l	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	15219	1	2, 0, 9, 7, 8	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
ass_3_L	ass_3_l	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	14832	1	2, 0, 9, 7, 9	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
ass_4_L	ass_4_l	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	13854	1	2, 0, 9, 8, 0	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
ass_5_L	ass_5_l	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	15131	1	2, 0, 9, 8, 1	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
Ass_L	ass_l	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	12842	3	2, 8, 2, 2	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
ass_L	ass_l	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	12841	3	3, 4, 4, 0	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
ass_l	ass_l	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	12840	3	6, 9, 9, 1	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
Ass_R	ass_r	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	13582	3	2, 8, 2, 3	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
ass_R	ass_r	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	13584	3	3, 4, 4, 1	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
ass_r	ass_r	M2	groupFile/Body Morphs	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Body Morphs	13583	3	6, 9, 9, 2	human proposed groupFile/Body vs existing groupFile/Body Morphs -- family NOT moved this phase
B_Hair1	b_hair1	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	4626	1	9, 9, 5, 7	
B_Hair2	b_hair2	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	6069	1	9, 9, 5, 8	
B_Hair3	b_hair3	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	6147	1	9, 9, 5, 9	
B_Hair4	b_hair4	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	5464	1	9, 9, 6, 0	
B_Hair5	b_hair5	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	6207	1	9, 9, 6, 1	
B_Hair6	b_hair6	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	4254	1	9, 9, 6, 2	
B_Hair_Tail01_01	b_hair_tail01_01	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	6131	1	9, 9, 6, 3	
B_Hair_Tail01_02	b_hair_tail01_02	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	5858	1	9, 9, 6, 4	
B_Hair_Tail01_03	b_hair_tail01_03	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	4986	1	9, 9, 6, 5	
B_Hair_Tail01_04	b_hair_tail01_04	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	4882	1	9, 9, 6, 6	
B_Hair_Tail01_05	b_hair_tail01_05	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	5211	1	9, 9, 6, 7	
B_Hair_Tail01_06	b_hair_tail01_06	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	4465	1	9, 9, 6, 8	
B_Hair_Tail01_07	b_hair_tail01_07	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	5474	1	9, 9, 6, 9	
B_Hair_Tail02_01	b_hair_tail02_01	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	7060	1	9, 9, 7, 0	
B_Hair_Tail02_02	b_hair_tail02_02	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	4373	1	9, 9, 7, 1	
B_Hair_Tail02_03	b_hair_tail02_03	M3	groupFile/Hair	ACCEPTED_AS_PROPOSED	groupFile/Hair	7848	1	9, 9, 7, 2	
