sexual_bones_order_position	exact_literal	source_provenance	prior_body_morphs_presentation_type
576	bip_anus2_L	Anus Bones	BONE
577	bip_anus2_R	Anus Bones	BONE
578	bip_anus3_L	Anus Bones	BONE
579	bip_anus3_R	Anus Bones	BONE
580	bip_anus_0_L	Anus Bones	BONE
581	bip_anus_0_R	Anus Bones	BONE
582	bip_anus_0	Anus Bones	BONE
583	bip_anus_00	Anus Bones	BONE
584	bip_anus_1_L	Anus Bones	BONE
585	bip_anus_1_R	Anus Bones	BONE
586	bip_anus_01	Anus Bones	BONE
587	bip_anus_1	Anus Bones	BONE
588	bip_anus_2_L	Anus Bones	BONE
589	bip_anus_2_R	Anus Bones	BONE
590	bip_anus_02	Anus Bones	BONE
591	bip_anus_2	Anus Bones	BONE
592	bip_anus_03	Anus Bones	BONE
593	bip_anus_04	Anus Bones	BONE
594	bip_anus_4	Anus Bones	BONE
595	bip_anus_05	Anus Bones	BONE
596	bip_anus_5	Anus Bones	BONE
597	bip_anus_06	Anus Bones	BONE
598	bip_anus_6	Anus Bones	BONE
599	bip_anus_07	Anus Bones	BONE
600	bip_anus_7	Anus Bones	BONE
601	bip_anus_08	Anus Bones	BONE
602	bip_anus_8	Anus Bones	BONE
603	bip_anus_09	Anus Bones	BONE
604	bip_anus_9	Anus Bones	BONE
605	bip_anus_10	Anus Bones	BONE
606	bip_anus_11	Anus Bones	BONE
607	bip_anus_12	Anus Bones	BONE
608	bip_anus_13	Anus Bones	BONE
609	bip_anus_14	Anus Bones	BONE
610	bip_anus_15	Anus Bones	BONE
611	bip_anus_16	Anus Bones	BONE
612	bip_anus_17	Anus Bones	BONE
613	bip_anus_18	Anus Bones	BONE
614	bip_anus_19	Anus Bones	BONE
615	bip_anus_20	Anus Bones	BONE
616	bip_anus_21	Anus Bones	BONE
617	bip_anus_22	Anus Bones	BONE
618	bip_anus_23	Anus Bones	BONE
619	bip_anus_24	Anus Bones	BONE
620	bip_anus_25	Anus Bones	BONE
621	bip_anus_26	Anus Bones	BONE
622	bip_anus_27	Anus Bones	BONE
623	bip_anus_28	Anus Bones	BONE
624	bip_anus_29	Anus Bones	BONE
625	bip_anus_30	Anus Bones	BONE
626	bip_anus_b	Anus Bones	BONE
627	bip_anus_base	Anus Bones	BONE
628	bip_Anus_Deep2	Anus Bones	BONE
629	bip_anus_f	Anus Bones	BONE
630	bip_anus_mid_L	Anus Bones	BONE
631	bip_anus_mid_R	Anus Bones	BONE
632	bip_anus_T	Anus Bones	BONE
633	bip_anus_tweak	Anus Bones	BONE
634	bip_anusroot	Anus Bones	BONE
635	bip_Ass_L	Butt Bones	BONE
636	bip_Ass_R	Butt Bones	BONE
637	Bip_Ass	Butt Bones	BONE
638	bip_ass_0_L	Butt Bones	BONE
639	bip_ass_0_R	Butt Bones	BONE
640	bip_ass_1_L	Butt Bones	BONE
641	bip_ass_1_R	Butt Bones	BONE
642	bip_ass_2_L	Butt Bones	BONE
643	bip_ass_2_R	Butt Bones	BONE
644	bip_ass_3_L	Butt Bones	BONE
645	bip_ass_3_R	Butt Bones	BONE
646	bip_ass_4_L	Butt Bones	BONE
647	bip_ass_4_R	Butt Bones	BONE
648	bip_AssRoot	Butt Bones	BONE
649	bip_Back_Inner_Pussy	Vagina Bones	BONE
650	bip_Back_Pussy_Outside	Vagina Bones	BONE
651	bip_ball_L	Balls Bones	BONE
652	bip_ball_R	Balls Bones	BONE
653	Bip_Ball01_L	Balls Bones	BONE
654	Bip_Ball01_R	Balls Bones	BONE
655	Bip_Ball02_L	Balls Bones	BONE
656	Bip_Ball02_R	Balls Bones	BONE
657	Bip_Ball.01_L	Balls Bones	BONE
658	Bip_Ball.01_R	Balls Bones	BONE
659	Bip_Ball.02_R	Balls Bones	BONE
660	bip_ball_ctrl_L	Balls Bones	BONE
661	Bip_Ball_L.001	Balls Bones	BONE
662	bip_ball_main	Balls Bones	BONE
663	Bip_BallCont.01	Balls Bones	BONE
664	Bip_BallCont.02	Balls Bones	BONE
665	bip_ballL	Balls Bones	BONE
666	bip_ballR	Balls Bones	BONE
667	Bip_Balls_L	Balls Bones	BONE
668	Bip_Balls_R	Balls Bones	BONE
669	bip_balls	Balls Bones	BONE
670	bip_Balls1.L	Balls Bones	BONE
671	bip_Balls1.R	Balls Bones	BONE
672	bip_Balls2.L	Balls Bones	BONE
673	bip_Balls2.R	Balls Bones	BONE
674	bip_Balls3.L	Balls Bones	BONE
675	bip_Balls3.R	Balls Bones	BONE
676	bip_balls_0_L	Balls Bones	BONE
